,supervised_loss,unsupervised_loss,classification_loss,test_accuracy
31,-202.6526592578927,-228.02847193122528,1.1569213784157129,0.3292226239669422
32,-201.66862820039785,-226.67087277321875,0.8062623819433443,0.8089596246556474
33,-208.28484511357803,-232.07473975490404,0.4991793295294352,0.804305483815427
34,-202.15682823729466,-228.21936254291748,1.2813057784720858,0.8105791580578512
35,-202.5443429358637,-229.22205167066116,0.7311933761847338,0.8222817665289257
36,-204.8994506785806,-231.26802045577912,0.5240220864548576,0.8065437758264462
37,-206.07114931580466,-231.24840160466096,0.5128026239289395,0.8399621212121212
38,-207.55825042912602,-230.4675047565181,1.1672245082032755,0.615831611570248
39,-207.27832035260525,-232.04860344641781,0.4914404920386093,0.8139150740358126
40,-207.99885513587654,-232.41758829128318,0.48355762223198673,0.7913814996556474
41,-206.77335574547612,-234.00905643532639,1.470566629178715,0.5723786157024793
42,-208.68554107979338,-233.64157137940796,0.9867708118446554,0.7908649707300276
43,-209.50932445737615,-234.17008581289826,0.48455011395213543,0.8400213068181818
44,-209.1023384160036,-233.80456543559947,0.4062066859533165,0.8375193698347108
45,-208.6076953125,-234.45243097148315,1.4169462747985089,0.8063608384986226
46,-213.29614614749102,-236.53367183998884,0.4573521252579268,0.8413449121900827
47,-211.53351989620765,-232.17503605436497,1.1164236675787267,0.8048004907024793
48,-210.9949520742428,-236.0238480896856,0.5217405623919665,0.8455148071625345
49,-210.68428518432367,-237.5453955933057,0.4001982810707797,0.8342480199724518
50,-211.8393744385267,-234.8603020714179,0.37149163114951134,0.8425609073691459
51,-211.93000794083676,-237.03379263508873,0.39007909927524825,0.8650891012396694
52,-210.82240402816993,-236.3163489138376,0.610782710629567,0.8338660037878788
53,-213.2407400819751,-239.67248014175212,0.40088915822931875,0.8550652117768595
54,-213.20750591552232,-238.80009048545386,0.3542186231045263,0.8572819817493114
55,-212.7138046233316,-238.53600636934544,0.3480895854315474,0.8657240013774105
56,-214.32187634352542,-237.36926414757218,0.510896399417697,0.7732007575757576
57,-213.57561994674023,-238.8989159495085,0.5437321894369576,0.8439759814049587
58,-210.02423364909524,-239.2681836903649,0.3728270709685966,0.858444171831956
